"場次","日期","類型","客隊","主隊","客隊得分","主隊得分","場地","開始售票時間","開始比賽時間","比賽歷經時間","比賽狀態","備註","calendarEventId"
"211","07/22","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"212","07/22","例行賽","統一獅","台鋼雄鷹","","","嘉義市KANO棒球場, 600台灣嘉義市東區山仔頂249-1號","","18:35","2h","","",""
"213","07/23","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"214","07/23","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"215","07/23","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"216","07/24","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"217","07/25","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"218","07/25","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"219","07/25","例行賽","中信兄弟","統一獅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"220","07/26","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","17:05","2h","","",""
"221","07/26","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"222","07/26","例行賽","中信兄弟","統一獅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"223","07/27","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","14:05","2h","","",""
"224","07/27","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"225","07/27","例行賽","中信兄弟","統一獅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"226","07/29","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"227","07/29","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"228","07/30","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"229","07/30","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"230","07/30","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"231","07/31","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"232","08/01","例行賽","樂天桃猿","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"233","08/01","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"234","08/01","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"235","08/02","例行賽","樂天桃猿","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"236","08/02","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"237","08/02","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"238","08/03","例行賽","樂天桃猿","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"239","08/03","例行賽","味全龍","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"240","08/03","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"241","08/05","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"242","08/05","例行賽","中信兄弟","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"243","08/05","例行賽","富邦悍將","台鋼雄鷹","","","台東棒球村第一棒球場, 950台灣台東縣台東市興安路一段525號","","18:35","2h","","",""
"244","08/06","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"245","08/06","例行賽","中信兄弟","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"246","08/06","例行賽","富邦悍將","台鋼雄鷹","","","台東棒球村第一棒球場, 950台灣台東縣台東市興安路一段525號","","18:35","2h","","",""
"247","08/08","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"248","08/08","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"249","08/08","例行賽","富邦悍將","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"250","08/09","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"251","08/09","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","17:05","2h","","",""
"252","08/09","例行賽","富邦悍將","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"253","08/10","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"254","08/10","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"255","08/10","例行賽","富邦悍將","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","14:05","2h","","",""
"256","08/12","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"257","08/12","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"258","08/13","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"259","08/13","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"260","08/13","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"261","08/14","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"262","08/15","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"263","08/15","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"264","08/15","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"265","08/16","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"266","08/16","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"267","08/16","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","17:05","2h","","",""
"268","08/17","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"269","08/17","例行賽","統一獅","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"270","08/17","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","14:05","2h","","",""
"271","08/19","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"272","08/19","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"273","08/19","例行賽","味全龍","台鋼雄鷹","","","台東棒球村第一棒球場, 950台灣台東縣台東市興安路一段525號","","18:35","2h","","",""
"274","08/20","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"275","08/20","例行賽","中信兄弟","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"276","08/20","例行賽","味全龍","台鋼雄鷹","","","台東棒球村第一棒球場, 950台灣台東縣台東市興安路一段525號","","18:35","2h","","",""
"277","08/22","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"278","08/22","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"279","08/22","例行賽","台鋼雄鷹","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"280","08/23","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"281","08/23","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"282","08/23","例行賽","台鋼雄鷹","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"283","08/24","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"284","08/24","例行賽","味全龍","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"285","08/24","例行賽","台鋼雄鷹","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"286","08/26","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"287","08/26","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"288","08/27","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"289","08/27","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"290","08/27","例行賽","樂天桃猿","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"291","08/28","例行賽","樂天桃猿","中信兄弟","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"292","08/29","例行賽","中信兄弟","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"293","08/29","例行賽","富邦悍將","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"294","08/29","例行賽","樂天桃猿","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"295","08/30","例行賽","中信兄弟","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"296","08/30","例行賽","富邦悍將","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","17:05","2h","","",""
"297","08/30","例行賽","樂天桃猿","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"298","08/31","例行賽","中信兄弟","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"299","08/31","例行賽","富邦悍將","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"300","08/31","例行賽","樂天桃猿","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"301","09/02","例行賽","富邦悍將","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"302","09/02","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"303","09/03","例行賽","富邦悍將","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"304","09/03","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"305","09/03","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"306","09/04","例行賽","台鋼雄鷹","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"307","09/05","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"308","09/05","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"309","09/05","例行賽","台鋼雄鷹","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"310","09/06","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"311","09/06","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"312","09/06","例行賽","台鋼雄鷹","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"313","09/07","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","14:05","2h","","",""
"314","09/07","例行賽","樂天桃猿","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"315","09/07","例行賽","台鋼雄鷹","味全龍","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"316","09/09","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"317","09/09","例行賽","樂天桃猿","統一獅","","","嘉義市KANO棒球場, 600台灣嘉義市東區山仔頂249-1號","","18:35","2h","","",""
"318","09/10","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"319","09/10","例行賽","樂天桃猿","統一獅","","","嘉義市KANO棒球場, 600台灣嘉義市東區山仔頂249-1號","","18:35","2h","","",""
"320","09/10","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"321","09/11","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"322","09/12","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"323","09/12","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"324","09/12","例行賽","中信兄弟","樂天桃猿","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"325","09/13","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","17:05","2h","","",""
"326","09/13","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","17:05","2h","","",""
"327","09/13","例行賽","中信兄弟","樂天桃猿","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"328","09/14","例行賽","中信兄弟","樂天桃猿","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"329","09/14","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","14:05","2h","","",""
"330","09/14","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","14:05","2h","","",""
"331","09/16","例行賽","味全龍","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"332","09/16","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"333","09/16","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"334","09/18","例行賽","台鋼雄鷹","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"335","09/18","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"336","09/18","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"337","09/19","例行賽","台鋼雄鷹","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"338","09/19","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"339","09/19","例行賽","統一獅","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"340","09/20","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","17:05","2h","","",""
"341","09/20","例行賽","樂天桃猿","統一獅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"342","09/20","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"343","09/21","例行賽","台鋼雄鷹","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","14:05","2h","","",""
"344","09/21","例行賽","樂天桃猿","統一獅","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
"345","09/21","例行賽","味全龍","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","14:05","2h","","",""
"346","09/23","例行賽","樂天桃猿","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"347","09/23","例行賽","富邦悍將","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"348","09/23","例行賽","台鋼雄鷹","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","18:35","2h","","",""
"349","09/25","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"350","09/25","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"351","09/25","例行賽","樂天桃猿","台鋼雄鷹","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"352","09/26","例行賽","中信兄弟","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"353","09/26","例行賽","味全龍","統一獅","","","臺南市立棒球場, 702台灣台南市南區健康路一段257號","","18:35","2h","","",""
"354","09/26","例行賽","樂天桃猿","台鋼雄鷹","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","18:35","2h","","",""
"355","09/27","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"356","09/27","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","17:05","2h","","",""
"357","09/27","例行賽","統一獅","台鋼雄鷹","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","17:05","2h","","",""
"358","09/28","例行賽","中信兄弟","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"359","09/28","例行賽","富邦悍將","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","14:05","2h","","",""
"360","09/28","例行賽","統一獅","台鋼雄鷹","","","臺北大巨蛋, 110台灣台北市信義區忠孝東路四段515號","","14:05","2h","","",""
